period,county_name_Alameda,county_name_Alpine,county_name_Amador,county_name_Butte,county_name_Calaveras,county_name_Colusa,county_name_Contra Costa,county_name_Del Norte,county_name_El Dorado,county_name_Fresno,county_name_Glenn,county_name_Humboldt,county_name_Imperial,county_name_Inyo,county_name_Kern,county_name_Kings,county_name_Lake,county_name_Lassen,county_name_Los Angeles,county_name_Madera,county_name_Marin,county_name_Mariposa,county_name_Mendocino,county_name_Merced,county_name_Modoc,county_name_Mono,county_name_Monterey,county_name_Napa,county_name_Nevada,county_name_Orange,county_name_Placer,county_name_Plumas,county_name_Riverside,county_name_Sacramento,county_name_San Benito,county_name_San Bernardino,county_name_San Diego,county_name_San Francisco,county_name_San Joaquin,county_name_San Luis Obispo,county_name_San Mateo,county_name_Santa Barbara,county_name_Santa Clara,county_name_Santa Cruz,county_name_Shasta,county_name_Sierra,county_name_Siskiyou,county_name_Solano,county_name_Sonoma,county_name_Stanislaus,county_name_Sutter,county_name_Tehama,county_name_Trinity,county_name_Tulare,county_name_Tuolumne,county_name_Ventura,county_name_Yolo,county_name_Yuba,year,month,lagged_neighbor_all_drugs_deaths,lagged_neighbor_all_drugs_monthly_rate,POPESTIMATE,SS_total_number_of_recipients,Fentanyl Seizures lbs,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,county_all_drugs_monthly_rate,UNDER5_PCT_MALE,513_PCT_MALE,1417_PCT_MALE,1824_PCT_MALE,16PLUS_PCT_MALE,18PLUS_PCT_MALE,1544_PCT_MALE,2544_PCT_MALE,4564_PCT_MALE,65PLUS_PCT_MALE,04_PCT_MALE,59_PCT_MALE,1014_PCT_MALE,1519_PCT_MALE,2024_PCT_MALE,2529_PCT_MALE,3034_PCT_MALE,3539_PCT_MALE,4044_PCT_MALE,4549_PCT_MALE,5054_PCT_MALE,5559_PCT_MALE,6064_PCT_MALE,6569_PCT_MALE,7074_PCT_MALE,7579_PCT_MALE,8084_PCT_MALE,85PLUS_PCT_MALE,county_lat_pt,county_lon_pt
2016-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,47.0,0.787564656,1650765,50959,175.43,184716,11.5,81462,0.796944637,3.057006902860189,5.397800413747565,2.263193125611459,4.3085478550853695,39.51392233297895,38.388928769388734,21.71369031933679,15.706960106374924,12.64195691088677,5.7314638970416745,3.057006902860189,3.046648069228509,2.9161631122540155,2.867458420792784,3.139271792169085,4.189815025155004,4.151893213146632,3.855000560346264,3.510251307727023,3.4429491781083317,3.3248221279225088,3.171499274578756,2.702686330277175,2.1499123133819773,1.4058330531602017,0.9256314496612176,0.6258310540870445,0.6242560267512336,37.6504930265,-121.917998966
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,20.0,1.650046573,140778,2252,175.43,13960,10.1,72683,3.532819897,2.73125062154598,5.632982426231371,2.567872821037378,4.464475983463325,40.16678742417139,38.866158064470305,19.105257923823324,12.699427467359955,13.320263109292648,8.381991504354373,2.73125062154598,3.018227279830655,3.241273494438052,3.2455355240165367,3.1602949324468312,3.1361434315020817,3.195101507337794,3.1986531986531985,3.1695293298668825,3.310886644219978,3.4700024151500948,3.3939962210004406,3.145377828922133,2.930145335208626,1.9839747687848952,1.4533520862634786,1.0420662319396496,0.9724530821577236,38.5064964441,-122.330538465
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,28.0,1.605247784,433436,8682,175.43,63732,15.3,60047,0.0,3.825247556732712,6.914515637833498,2.772035548500817,5.362729445639033,38.91854852850248,37.52018752480182,22.10314786958167,14.657296578964369,11.690768648658626,5.809392851539789,3.825247556732712,3.937144122777065,3.666285218578983,3.549082217443867,3.896769073173433,3.8720826142729257,3.934606262516265,3.5643093790086655,3.2862983231665117,3.223543960354008,2.995367251451195,2.876779962901097,2.5950774739523252,2.138954770715861,1.4126653069888055,0.9226275620852906,0.6379257837373914,0.6972194280124401,36.2397743956,-121.308901554
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,28.0,2.308636692,14256,102,175.43,1531,11.2,53992,0.0,2.511223344556678,4.734848484848484,1.9781144781144784,5.0014029180695845,44.58473625140291,43.686868686868685,21.464646464646464,14.962121212121213,16.056397306397308,7.666947250280584,2.511223344556678,2.5462962962962963,2.665544332210999,2.8058361391694726,3.69668911335578,4.292929292929292,3.956228956228956,3.423120089786756,3.2898428731762066,3.61952861952862,4.005331088664422,4.454264870931538,3.977272727272727,3.1495510662177333,2.1604938271604937,1.073232323232323,0.6734006734006733,0.6102693602693603,37.938990343,-118.886709262
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,15.0,5.940876398,8957,429,175.43,1769,20.3,38402,0.0,2.4785084291615496,5.481746120352797,2.445015072010718,3.3270068103159542,41.274980462208326,40.147370771463656,15.429273194149824,10.304789550072568,13.75460533660824,12.760969074466896,2.4785084291615496,3.04789550072569,3.081388857876521,2.6013174053812658,2.523166238695992,2.4561795243943285,2.5566595958468237,2.735290833984593,2.5566595958468237,2.8022775482862565,3.092553310260132,3.594953667522608,4.264820810539243,4.499274310595065,3.226526738863459,2.422686167243497,1.2280897621971645,1.3843920955677125,41.5898335739,-120.725028959
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,40.0,1.086170819,267370,11232,175.43,68026,25.9,42879,1.849577556,4.059542955454988,7.823241201331488,3.4188577626510077,5.821894752590043,36.76029472266896,35.04843475333807,22.05146426300632,13.649624116393014,10.610764109660767,4.966151774694244,4.059542955454988,4.381568612783783,4.28058495717545,4.398773235591128,4.003066911022179,4.021393574447394,3.559860866963384,3.1663986236301755,2.9019710513520587,2.900474997194898,2.8425028986049297,2.6745708194636646,2.193215394397277,1.7937689344354266,1.25369338370049,0.8632232486816024,0.5670045255638254,0.4884616823128996,37.191870471,-120.717688
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,20.0,2.477620889,87319,3406,175.43,17508,20.3,43237,5.653422582,3.045156266104742,5.497085399512134,2.5561447107731423,3.886897467905038,39.86303095546216,38.52082593708128,17.717793378302545,11.849654714323345,13.24224968219975,9.542024072653144,3.045156266104742,3.090965311100677,2.981023603110434,3.0554633012288277,2.812675362750375,2.8550487293716142,2.9878949598598243,3.104708024599457,2.902003000492447,2.982168829235333,2.9924758643594176,3.5353130475612407,3.732291941043759,3.940723095775261,2.5091904396523095,1.4280969777482564,0.8944216035456201,0.7695919559316987,39.4336238198,-123.431553907
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,20.0,1.962893462,17498,460,175.43,2627,15.2,44595,0.0,2.2059663961595612,4.057606583609555,2.0459481083552404,3.6004114755972108,43.49068464967425,42.51343010629786,15.356040690364614,10.20116584752543,15.561778488970168,13.150074294205051,2.2059663961595612,2.131672191107555,2.4174191336152706,2.594582237970054,2.5602926048691277,2.8574694250771517,2.6460166876214424,2.4574237055663506,2.240256029260487,2.6460166876214424,3.640416047548291,4.4919419362212825,4.783403817579152,4.589095896673905,3.3260944107898047,2.543147788318665,1.4973139787404277,1.1944222196822494,37.5815223099,-119.905517029
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,30.0,1.023227259,260722,3428,175.43,19100,7.5,99868,1.900201421,2.433626621458872,5.526192649642148,2.418284609660865,3.3725577434969045,39.552473515852135,38.39453517539755,15.780409785135124,10.622425418645149,15.11610067428142,9.28345133897408,2.433626621458872,2.8996402298233366,3.259410406486603,2.730878100045259,2.427106266444719,2.161689462339196,2.421736562315417,2.7711508810150276,3.267848512975507,3.977800108928284,3.879611233421038,3.744601529598576,3.51408780233352,3.2421506432138445,2.452804136206381,1.5238453218370525,0.9999156189351108,1.0647356187816908,38.05518334,-122.748858563
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,23.0,1.715491033,153694,4724,175.43,33258,22.6,46593,3.238908358,3.840097856780355,7.096568506252685,3.139354821918878,4.819966947310891,35.838744518328625,34.24987312452015,19.40739391257954,12.209975665933609,10.844274987963097,6.375655523312557,3.840097856780355,4.0209767460017956,3.8374952828347233,3.7613699949249817,3.436048251720952,3.438000182180176,3.1510664046742227,2.913581532135282,2.7073275469439277,2.7600296693429804,2.7613309563157964,2.754173877965308,2.568740484339011,2.316290811612685,1.62791000299296,1.1366741707548766,0.6909833825653572,0.6037971553866774,37.2180440575,-119.762644507
