period,county_name,predicted_value,actual_value,difference,RMSE,MAE,R_squared
202212,SACRAMENTO,3.62343671,4.734844748,-1.111408038,0.931528696,0.909350593,-0.151590623
202211,SAN BENITO,9.438962467,9.481908519,-0.042946052,0.041275867,0.04124062,0
202212,SAN BENITO,9.442373331,9.481908519,-0.039535188,0.041275867,0.04124062,0
202211,SAN BERNARDINO,2.771389796,2.52552691,0.245862886,0.187369677,0.172343569,-9.177275331
202212,SAN BERNARDINO,2.74181753,2.642993278,0.098824252,0.187369677,0.172343569,-9.177275331
202211,SAN DIEGO,3.134543428,2.805033352,0.329510076,0.240820567,0.207802106,-0.151678119
202212,SAN DIEGO,3.339932824,3.253838688,0.086094136,0.240820567,0.207802106,-0.151678119
202211,SAN FRANCISCO,6.926013813,7.753446054,-0.827432241,1.013785778,0.999138851,0.080597454
202212,SAN FRANCISCO,8.697176789,9.868022251,-1.170845462,1.013785778,0.999138851,0.080597454
202211,SAN JOAQUIN,1.246262161,0.818613302,0.427648859,0.396728057,0.395416525,0.710036577
202212,SAN JOAQUIN,2.655301435,2.292117245,0.36318419,0.396728057,0.395416525,0.710036577
202211,SAN LUIS OBISPO,2.085148013,2.083967207,0.001180806,0.001206522,0.001206254,0
202212,SAN LUIS OBISPO,2.085198909,2.083967207,0.001231702,0.001206522,0.001206254,0
202211,SAN MATEO,2.482085877,1.980887735,0.501198142,0.443469316,0.43910006,-27.86887829
202212,SAN MATEO,2.522963691,2.145961713,0.377001978,0.443469316,0.43910006,-27.86887829
202211,SANTA BARBARA,1.866720246,1.397674828,0.469045418,0.446579183,0.445983301,0
202212,SANTA BARBARA,1.820596012,1.397674828,0.422921184,0.446579183,0.445983301,0
202211,SANTA CLARA,2.684373713,2.34082397,0.343549743,0.260855836,0.238978123,0.20522614
202212,SANTA CLARA,2.791623459,2.926029963,-0.134406504,0.260855836,0.238978123,0.20522614
202211,SANTA CRUZ,5.564241784,5.835353263,-0.271111479,2.029160667,1.563971347,-0.277218756
202212,SANTA CRUZ,5.101197855,2.24436664,2.856831215,2.029160667,1.563971347,-0.277218756
202211,SHASTA,3.409837849,3.411455668,-0.001617819,0.001545838,0.001544078,0
202212,SHASTA,3.409985332,3.411455668,-0.001470336,0.001545838,0.001544078,0
202211,SIERRA,0,0,0,0,0,1
202212,SIERRA,0,0,0,0,0,1
202211,SISKIYOU,13.82898343,13.87770962,-0.048726191,0.042627201,0.042110735,0
202212,SISKIYOU,13.9132049,13.87770962,0.035495278,0.042627201,0.042110735,0
202211,SOLANO,1.379300231,1.378310357,0.000989874,0.090204017,0.064276889,0.99125899
202212,SOLANO,3.180380953,3.307944857,-0.127563904,0.090204017,0.064276889,0.99125899
202211,SONOMA,2.439970617,1.237179725,1.202790892,1.217577843,1.217489123,0
202212,SONOMA,2.469367079,1.237179725,1.232187354,1.217577843,1.217489123,0
202211,STANISLAUS,3.474302079,3.074696196,0.399605883,0.39232385,0.392254977,0
202212,STANISLAUS,3.459600268,3.074696196,0.384904072,0.39232385,0.392254977,0
202211,SUTTER,1.084475307,0,1.084475307,0.769319284,0.585877175,0.943997361
202212,SUTTER,6.414502444,6.501781488,-0.087279044,0.769319284,0.585877175,0.943997361
202211,TEHAMA,9.690982618,9.690298074,0.000684544,0.000578195,0.00056589,0
202212,TEHAMA,9.689850839,9.690298074,-0.000447235,0.000578195,0.00056589,0
202211,TRINITY,7.343476658,37.36920777,-30.02573111,21.56527832,17.68578198,-0.33211692
202212,TRINITY,5.345832857,0,5.345832857,21.56527832,17.68578198,-0.33211692
202211,TULARE,1.551453597,1.415756807,0.13569679,0.096465834,0.074878606,0
202212,TULARE,1.42981723,1.415756807,0.014060423,0.096465834,0.074878606,0
202211,TUOLUMNE,10.85982093,10.80520379,0.054617141,0.054443746,0.054443469,0
202212,TUOLUMNE,10.85947359,10.80520379,0.054269797,0.054443746,0.054443469,0
202211,VENTURA,3.419095614,3.109084449,0.310011165,0.316958487,0.316883964,0.266671938
202212,VENTURA,3.525585887,3.849342651,-0.323756764,0.316958487,0.316883964,0.266671938
202211,YOLO,3.40645843,2.71392515,0.69253328,0.703649191,0.703562744,0
202212,YOLO,3.428517358,2.71392515,0.714592208,0.703649191,0.703562744,0
202211,YUBA,7.822079486,7.818975089,0.003104397,0.004490019,0.004321822,0
202212,YUBA,7.824514336,7.818975089,0.005539247,0.004490019,0.004321822,0
