,period,Actuals,FittedVals,Residuals,county_name,Actuals_inv,FittedVals_inv,Residuals_inv
0,2016-02-01,-0.5874409621461028,0.1855124950625353,-0.7729534572086381,Alameda,-0.5912198884659984,0.18161408929618914,-0.776703707894816
1,2016-02-01,-0.5874409621461028,0.1855499031629758,-0.7729908653090786,Napa,-0.5912198884659984,0.18165149161426447,-0.7767411102128914
2,2016-02-01,0.0820549292129796,0.1855499031629758,-0.1034949739499962,Monterey,0.07817251542206681,0.18165149161426447,-0.10734870632482617
3,2016-02-01,1.4589415636838414,0.1855061136806954,1.273435450003146,Mono,1.454846317346056,0.18160770890075267,1.2693688783126749
4,2016-02-01,-0.5874409621461028,0.18539652995117,-0.7728374920972728,Modoc,-0.5912198884659984,0.1814981421101558,-0.7765877607087828
5,2016-02-01,0.1003793674136218,0.1854901235514876,-0.0851107561378658,Merced,0.09649412111874346,0.18159172124322256,-0.08896733025710758
6,2016-02-01,0.5849542321701457,0.1855049400932307,0.399449292076915,Mendocino,0.5809940826116039,0.18160653549469552,0.3955178169842798
7,2016-02-01,-0.3342482738311645,0.1854531555463465,-0.5197014293775111,Mariposa,-0.33806633746516757,0.18155475895241877,-0.523490826550215
8,2016-02-01,-0.5874409621461028,0.1854990721559067,-0.7729400343020095,Marin,-0.5912198884659984,0.18160066846440917,-0.7766902870630362
9,2016-02-01,2.216372567692518,0.1855424948921042,2.0308300728004136,Madera,2.212160241294815,0.18164408448852792,2.0266464266736586
10,2016-02-01,0.6268889806849905,0.1853665301216011,0.4415224505633894,Los Angeles,0.6229223490537018,0.18146814691781696,0.43758447200325623
11,2016-02-01,-0.0541604871007448,0.1853885348865661,-0.2395490219873109,Lassen,-0.058021845364462005,0.1814901482813907,-0.24338172377848122
12,2016-02-01,-0.5874409621461028,0.1854795612643044,-0.7729205234104072,Lake,-0.5912198884659984,0.18158116058870716,-0.7766707791873341
13,2016-02-01,0.3916935647789843,0.1855342797798507,0.2061592849991336,Kings,0.3877632885295598,0.18163587064612718,0.20225768775080413
14,2016-02-01,0.7549971464255497,0.1854858692969277,0.5695112771286219,Kern,0.7510107124470617,0.18158746764626496,0.5655535146681682
15,2016-02-01,5.836202813812803,0.1854334979563111,5.650769315856492,Inyo,5.831430951378334,0.18153510440095955,5.646026116844745
16,2016-02-01,-0.145886547510992,0.1850902236228578,-0.3309767711338499,Imperial,-0.14973372719924558,0.18119188312920997,-0.3347953404610841
17,2016-02-01,0.3983976278178318,0.185333156228071,0.2130644715897607,Humboldt,0.394466315286425,0.18143477818306364,0.20916180697073278
18,2016-02-01,-0.5874409621461028,0.1854725197395157,-0.7729134818856185,Glenn,-0.5912198884659984,0.18157412015236365,-0.7766637387509906
19,2016-02-01,-0.1380387116452036,0.1855210769208717,-0.3235597885660753,Fresno,-0.14188710441436952,0.18162266982798292,-0.327379504374981
20,2016-02-01,-0.5874409621461028,0.1855204901271393,-0.7729614522732421,El Dorado,-0.5912198884659984,0.18162208312495431,-0.7767117017235813
21,2016-02-01,3.4127836728122345,0.1855367736532133,3.227246899159021,Del Norte,3.4083864109113216,0.18163836413399875,3.222878316644694
22,2016-02-01,0.220583482986056,0.1852882665075425,0.0352952164785135,Contra Costa,0.21667965611422865,0.1813898954013733,0.031420030580226826
23,2016-02-01,1.256552999589363,0.1853800997266629,1.0711728998627,Colusa,1.252489037507286,0.18148171442535416,1.067137592949303
24,2016-02-01,-0.5874409621461028,0.1854056986032387,-0.7728466607493415,Calaveras,-0.5912198884659984,0.1815073093449781,-0.7765969279436051
25,2016-02-01,-0.1522130144116013,0.1854959914888116,-0.337709005900413,Butte,-0.15605921618487664,0.18159758827350886,-0.34152653459101406
26,2016-02-01,-0.5874409621461028,0.1855214436669544,-0.7729624058130572,Nevada,-0.5912198884659984,0.18162303651737577,-0.7767126551160027
27,2016-02-01,0.2548095700130333,0.1855371403992961,0.0692724296137371,Amador,0.2509004526364621,0.18163873082339171,0.06539199168044177
28,2016-02-01,-0.3743493512587714,0.1854948179013468,-0.5598441691601181,Orange,-0.37816121626012916,0.18159641486745162,-0.5636273612602093
29,2016-02-01,2.706390609048451,0.1855113214750705,2.5208792875733805,Plumas,2.702102538006894,0.18161291589013184,2.516619891984134
30,2016-02-01,-0.1984977577611552,0.185328241830562,-0.3838259995917172,Yolo,-0.20233680506029897,0.1814298645451987,-0.38763639973812614
31,2016-02-01,-0.5874409621461028,0.1854282168127196,-0.7728691789588223,Ventura,-0.5912198884659984,0.18152982407370197,-0.7766194426723289
32,2016-02-01,2.254053736683566,0.1855385340344105,2.0685152026491553,Tuolumne,2.2498355857110837,0.18164012424308468,2.0643257313353702
33,2016-02-01,1.2818066686104557,0.1853640362482385,1.0964426323622172,Tulare,1.2777388029370726,0.1814656534299454,1.0924034193744987
34,2016-02-01,-0.2518164983056214,0.1853445253566361,-0.4371610236622575,Trinity,-0.25564730384900836,0.18144614555424324,-0.4409631795358801
35,2016-02-01,-0.2271533404411111,0.1854733265808977,-0.4126266670220089,Tehama,-0.23098795829741536,0.18157492686902799,-0.41643261529907194
36,2016-02-01,-0.1668510145876726,0.1855165292694456,-0.3523675438571182,Sutter,-0.1706949536889308,0.181618122879511,-0.35618280670107033
37,2016-02-01,3.461104209338506,0.1855118349195864,3.2755923744189195,Stanislaus,3.4566994782802944,0.18161342925528196,3.271216318892384
38,2016-02-01,-0.5874409621461028,0.1852727898228504,-0.7727137519689532,Sonoma,-0.5912198884659984,0.18137442110899304,-0.77646403970762
