county_fips,county_name,state,month_date,period,year,month,quarter,county_all_drugs_death_count,county_all_drugs_monthly_rate,county_fentanyl_death_count,county_fentanyl_monthly_rate,county_pct_fentanyl,county_population,lagged_neighbor_all_drugs_deaths,neighbor_all_drugs_deaths_diff,lagged_neighbor_fentanyl_deaths,neighbor_fentanyl_deaths_diff,lagged_neighbor_all_drugs_monthly_rate,neighbor_all_drugs_rate_diff,lagged_neighbor_fentanyl_monthly_rate,neighbor_fentanyl_rate_diff,lagged_neighbor_pct_fentanyl,neighbor_pct_fentanyl_diff
06059,ORANGE,CA,2017-06-01,201706,2017,6,2,27,0.849023230218938,4.0,0.1154610013897014,0.1481481481481481,3180125.0,180.0,-5.0,20.0,0.0,1.0000776171350632,-0.027779933809307322,0.11111973523722926,0.0,0.10648454016913317,0.0051510167464114825
06059,ORANGE,CA,2017-07-01,201707,2017,7,3,40,1.257812192916945,5.0,0.1567041768584234,0.125,3180125.0,175.0,23.0,20.0,5.0,0.9722976833257558,0.12778769552281377,0.11111973523722926,0.027779933809307295,0.11163555691554465,0.008880220806059616
06059,ORANGE,CA,2017-08-01,201708,2017,8,3,30,0.9433591446877088,4.0,0.1175281326438175,0.1333333333333333,3180125.0,198.0,-12.0,25.0,-1.0,1.1000853788485696,-0.0666718411423377,0.13889966904653656,-0.0055559867618614756,0.12051577772160427,0.0005054424375469102
06059,ORANGE,CA,2017-09-01,201709,2017,9,3,25,0.7861326205730906,4.0,0.0979401105365146,0.16,3180125.0,186.0,12.0,24.0,0.0,1.033413537706232,0.0666718411423377,0.13334368228467508,0.0,0.12102122015915118,-0.009104808673774223
06059,ORANGE,CA,2017-10-01,201710,2017,10,4,40,1.257812192916945,5.0,0.1551577540604784,0.125,3180125.0,198.0,-26.0,24.0,7.0,1.1000853788485696,-0.14445565580839803,0.13334368228467508,0.038891907333030246,0.11191641148537695,0.04818116986691315
06059,ORANGE,CA,2017-11-01,201711,2017,11,4,32,1.0062497543335562,4.0,0.1241262032483827,0.125,3180125.0,172.0,5.0,31.0,-2.0,0.9556297230401716,0.02777993380930721,0.17223558961770533,-0.011111973523722923,0.1600975813522901,-0.00829447010150447
06059,ORANGE,CA,2017-12-01,201712,2017,12,4,34,1.0691403639794033,5.0,0.1318840909514066,0.1470588235294117,3180125.0,177.0,-11.0,29.0,0.0,0.9834096568494788,-0.061115854380475954,0.1611236160939824,0.0,0.15180311125078563,0.00591293813193039
06059,ORANGE,CA,2018-01-01,201801,2018,1,1,33,1.0356989744069367,5.0,0.1461635782063469,0.1515151515151515,3186254.0,166.0,44.0,29.0,9.0,0.9222938024690028,0.24040740712782216,0.1611236160939824,0.04926993611877642,0.15771604938271602,0.009097580930231691
06059,ORANGE,CA,2018-02-01,201802,2018,2,1,28,0.8787748873755827,4.0,0.1240175815084155,0.1428571428571428,3186254.0,210.0,-39.0,38.0,-6.0,1.162701209596825,-0.21593022463941036,0.21039355221275882,-0.033220034559909295,0.1668136303129477,0.004718282047137978
06059,ORANGE,CA,2018-03-01,201803,2018,3,1,32,1.004314157000666,5.0,0.1417343788667606,0.15625,3186254.0,171.0,-11.0,32.0,-1.0,0.9467709849574146,-0.06090339669316691,0.17717351765284953,-0.00553667242665154,0.1715319123600857,0.009333190279210424
06059,ORANGE,CA,2018-04-01,201804,2018,4,2,27,0.847390069969312,6.0,0.1836707540820183,0.2222222222222222,3186254.0,160.0,14.0,31.0,-2.0,0.8858675882642477,0.0775134139731215,0.171636845226198,-0.011073344853303108,0.18086510263929612,-0.027943906987122208
06059,ORANGE,CA,2018-05-01,201805,2018,5,2,34,1.0670837918132074,8.0,0.231289097732912,0.2352941176470588,3186254.0,174.0,-11.0,29.0,-3.0,0.9633810022373692,-0.06090339669316691,0.16056350037289488,-0.01661001727995462,0.1529211956521739,-0.01252164961902244
06059,ORANGE,CA,2018-06-01,201806,2018,6,2,38,1.1926230614382909,9.0,0.2584995798191369,0.2368421052631578,3186254.0,163.0,32.0,26.0,6.0,0.9024776055442023,0.1771735176528495,0.14395348309294026,0.03322003455990927,0.14039954603315147,0.00579259257202841
06059,ORANGE,CA,2018-07-01,201807,2018,7,3,40,1.2553926962508326,12.0,0.3526679691773826,0.3,3186254.0,195.0,7.0,32.0,4.0,1.0796511231970518,0.03875670698656086,0.17717351765284953,0.022146689706606187,0.14619213860517988,0.013367554066214898
06059,ORANGE,CA,2018-08-01,201808,2018,8,3,38,1.1926230614382909,11.0,0.3350345707185135,0.2894736842105263,3186254.0,202.0,17.0,36.0,3.0,1.1184078301836127,0.09412343125307632,0.19932020735945571,0.016610017279954675,0.15955969267139478,0.006118289724560605
06059,ORANGE,CA,2018-09-01,201809,2018,9,3,41,1.2867775136571034,12.0,0.3614846684068172,0.2926829268292683,3186254.0,219.0,-37.0,39.0,-8.0,1.212531261436689,-0.20485687978610723,0.2159302246394104,-0.0442933794132124,0.16567798239595538,-0.011590037014318655
06059,ORANGE,CA,2018-10-01,201810,2018,10,4,39,1.2240078788445616,12.0,0.3466217002037697,0.3076923076923077,3186254.0,182.0,12.0,31.0,8.0,1.0076743816505818,0.06644006911981859,0.171636845226198,0.0442933794132124,0.15408794538163673,0.03513001822657075
06059,ORANGE,CA,2018-11-01,201811,2018,11,4,30,0.9415445221881245,9.0,0.2666320770798228,0.3,3186254.0,194.0,-21.0,39.0,-4.0,1.0741144507704004,-0.11627012095968248,0.2159302246394104,-0.022146689706606243,0.18921796360820747,-0.0003989988699206748
06059,ORANGE,CA,2018-12-01,201812,2018,12,4,41,1.2867775136571034,12.0,0.3643971720090912,0.2926829268292683,3186254.0,173.0,7.0,35.0,2.0,0.9578443298107179,0.03875670698656075,0.19378353493280415,0.011073344853303135,0.1888189647382868,0.0035658268733088916
06059,ORANGE,CA,2019-01-01,201901,2019,1,1,39,1.224344489099881,8.0,0.2511475875076678,0.2051282051282051,3185378.0,180.0,8.0,37.0,13.0,0.9966010367972786,0.04314197854927304,0.20485687978610728,0.07167051791244372,0.1923847916115957,0.07080321086212107
06059,ORANGE,CA,2019-02-01,201902,2019,2,1,27,0.847623107838379,6.0,0.1883606906307509,0.2222222222222222,3185378.0,188.0,0.0,50.0,1.0,1.0397430153465517,0.0,0.276527397698551,0.00553054795397101,0.26318800247371676,0.004332793723549999
06059,ORANGE,CA,2019-03-01,201903,2019,3,1,32,1.0045903500306714,7.0,0.2197541390692093,0.21875,3185378.0,188.0,11.0,51.0,2.0,1.0397430153465517,0.06083602749368122,0.282057945652522,0.01106109590794202,0.26752079619726676,-0.0009691637200444636
06059,ORANGE,CA,2019-04-01,201904,2019,4,2,43,1.3499182828537146,14.0,0.4395082781384187,0.3255813953488372,3185378.0,199.0,0.0,53.0,6.0,1.100579042840233,0.0,0.29311904156046403,0.033183287723826116,0.2665516324772223,0.014367823719890649
06059,ORANGE,CA,2019-05-01,201905,2019,5,2,33,1.0359837984691298,11.0,0.3453279328230433,0.3333333333333333,3185378.0,199.0,20.0,59.0,5.0,1.100579042840233,0.1106109590794202,0.32630232928429015,0.027652739769855106,0.28091945619711295,-0.0013793068040224288
06059,ORANGE,CA,2019-06-01,201906,2019,6,2,38,1.1929510406614223,12.0,0.3767213812615018,0.3157894736842105,3185378.0,219.0,-12.0,64.0,-5.0,1.211190001919653,-0.06636657544765212,0.35395506905414525,-0.027652739769855106,0.2795401493930905,-0.006399691659609574
