SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,DATE,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,06,025,California,Imperial County,3,7/1/2021,179215,91982,87233,12757,6404,6353,26545,13570,12975,11449,5690,5759,18343,9942,8401,134156,69171,64985,128464,66318,62146,75647,41231,34416,48750,27009,21741,37217,18538,18679,24154,10829,13325,12757,6404,6353,14932,7568,7364,14508,7412,7096,13789,7030,6759,13108,7192,5916,12980,7174,5806,13129,7426,5703,12030,6647,5383,10611,5762,4849,9504,4864,4640,9613,4832,4781,9265,4520,4745,8835,4322,4513,7742,3654,4088,6223,2887,3336,4187,1848,2339,2961,1262,1699,3041,1178,1863,32.8,32.1,33.8
050,06,025,California,Imperial County,4,7/1/2022,178713,91643,87070,12276,6175,6101,26449,13497,12952,11510,5746,5764,18295,9901,8394,134171,69085,65086,128478,66225,62253,75712,41179,34533,48863,27019,21844,36738,18311,18427,24582,10994,13588,12276,6175,6101,14841,7488,7353,14564,7496,7068,13758,6962,6796,13091,7198,5893,12716,7045,5671,13343,7505,5838,11949,6585,5364,10855,5884,4971,9594,4963,4631,9449,4744,4705,9010,4357,4653,8685,4247,4438,7884,3722,4162,6282,2902,3380,4458,1956,2502,2977,1284,1693,2981,1130,1851,33,32.3,33.9
050,06,027,California,Inyo County,1,4/1/2020,19025,9662,9363,1005,486,519,2039,1032,1007,839,441,398,1309,715,594,15545,7909,7636,15142,7703,7439,6311,3330,2981,4385,2293,2092,4981,2521,2460,4467,2174,2293,1005,486,519,1119,557,562,1142,594,548,1042,583,459,884,454,430,967,460,507,1061,561,500,1299,682,617,1058,590,468,1008,524,484,1027,525,502,1359,666,693,1587,806,781,1434,723,711,1113,569,544,791,384,407,540,260,280,589,238,351,44.7,43.7,45.8
050,06,027,California,Inyo County,2,7/1/2020,19001,9628,9373,984,473,511,2035,1026,1009,848,446,402,1302,712,590,15538,7890,7648,15134,7683,7451,6320,3332,2988,4396,2294,2102,4944,2498,2446,4492,2179,2313,984,473,511,1121,557,564,1140,589,551,1039,579,460,885,459,426,965,456,509,1061,562,499,1300,678,622,1070,598,472,1007,526,481,1026,523,503,1336,651,685,1575,798,777,1442,722,720,1124,573,551,793,386,407,543,261,282,590,237,353,44.7,43.7,45.8
050,06,027,California,Inyo County,3,7/1/2021,18927,9605,9322,954,471,483,2012,1021,991,881,466,415,1285,709,576,15509,7877,7632,15080,7647,7433,6366,3343,3023,4426,2284,2142,4777,2428,2349,4592,2226,2366,954,471,483,1118,556,562,1120,581,539,1055,585,470,885,474,411,938,459,479,1060,535,525,1320,684,636,1108,606,502,995,530,465,1023,519,504,1233,616,617,1526,763,763,1463,724,739,1176,601,575,819,398,421,543,263,280,591,240,351,44.6,43.8,45.6
050,06,027,California,Inyo County,4,7/1/2022,18718,9465,9253,922,473,449,1966,981,985,888,473,415,1277,696,581,15387,7782,7605,14942,7538,7404,6307,3286,3021,4370,2234,2136,4667,2358,2309,4628,2250,2378,922,473,449,1081,511,570,1113,587,526,1055,589,466,882,463,419,890,434,456,1076,552,524,1231,623,608,1173,625,548,1016,551,465,1019,520,499,1114,545,569,1518,742,776,1459,719,740,1142,585,557,890,437,453,553,264,289,584,245,339,44.7,43.9,45.7
050,06,029,California,Kern County,1,4/1/2020,909244,467100,442144,66721,34130,32591,136409,69470,66939,58792,30004,28788,92335,49149,43186,676185,348212,327973,647322,333496,313826,393674,209034,184640,257703,137580,120123,194817,99391,95426,102467,47376,55091,66721,34130,32591,73740,37627,36113,77825,39542,38283,70917,36537,34380,65054,34917,30137,71313,38059,33254,67742,36306,31436,63094,33691,29403,55554,29524,26030,50946,26470,24476,48763,24992,23771,49600,24943,24657,45508,22986,22522,35905,17621,18284,26930,12738,14192,18123,8322,9801,11329,5011,6318,10180,3684,6496,32.1,31.7,32.5
050,06,029,California,Kern County,2,7/1/2020,905828,463106,442722,66298,33913,32385,136065,69323,66742,59144,30171,28973,91537,48290,43247,673296,344486,328810,644321,329699,314622,391013,205858,185155,255619,135155,120464,194025,98539,95486,103140,47715,55425,66298,33913,32385,73525,37527,35998,77827,39554,38273,70659,36329,34330,64735,34374,30361,70235,37123,33112,67368,35687,31681,62696,33205,29491,55320,29140,26180,50536,26041,24495,48596,24789,23807,49233,24710,24523,45660,22999,22661,36163,17780,18383,27183,12834,14349,18173,8330,9843,11436,5069,6367,10185,3702,6483,32.1,31.7,32.6
050,06,029,California,Kern County,3,7/1/2021,912351,466198,446153,65022,33284,31738,135286,69002,66284,60738,30953,29785,92484,48635,43849,680926,348085,332841,651305,332959,318346,397299,208796,188503,259844,137265,122579,193747,98341,95406,105230,48718,56512,65022,33284,31738,73113,37379,35734,77940,39680,38260,70751,36267,34484,66704,35264,31440,69329,36577,32752,69515,36734,32781,63916,33885,30031,57084,30069,27015,50560,26184,24376,48927,24845,24082,48111,24147,23964,46149,23165,22984,36898,18212,18686,28240,13320,14920,18325,8333,9992,11655,5134,6521,10112,3719,6393,32.3,31.9,32.8
050,06,029,California,Kern County,4,7/1/2022,916108,468118,447990,64121,32850,31271,133850,68225,65625,62383,31752,30631,93458,49216,44242,686175,350702,335473,655754,335291,320463,401329,210974,190355,261585,138250,123335,192857,97855,95002,107854,49970,57884,64121,32850,31271,72549,37068,35481,77398,39401,37997,72153,37093,35060,67591,35631,31960,67800,35892,31908,70614,37270,33344,64467,34161,30306,58704,30927,27777,50987,26586,24401,48782,24717,24065,46972,23619,23353,46116,22933,23183,37803,18685,19118,28252,13339,14913,19627,8928,10699,12002,5240,6762,10170,3778,6392,32.5,32.1,33
