county_fips,county_name,state,month_date,period,year,month,quarter,county_all_drugs_death_count,county_all_drugs_monthly_rate,county_fentanyl_death_count,county_fentanyl_monthly_rate,county_pct_fentanyl,county_population,lagged_neighbor_all_drugs_deaths,neighbor_all_drugs_deaths_diff,lagged_neighbor_fentanyl_deaths,neighbor_fentanyl_deaths_diff,lagged_neighbor_all_drugs_monthly_rate,neighbor_all_drugs_rate_diff,lagged_neighbor_fentanyl_monthly_rate,neighbor_fentanyl_rate_diff,lagged_neighbor_pct_fentanyl,neighbor_pct_fentanyl_diff,county_all_drugs_deaths_2mo_rolling,county_all_drugs_death_avg_2mo,county_all_drugs_rate_avg_2mo,county_fentanyl_deaths_2mo_rolling,county_fentanyl_death_avg_2mo,county_fentanyl_rate_avg_2mo,county_all_drugs_deaths_3mo_rolling,county_all_drugs_death_avg_3mo,county_all_drugs_rate_avg_3mo,county_fentanyl_deaths_3mo_rolling,county_fentanyl_death_avg_3mo,county_fentanyl_rate_avg_3mo,county_all_drugs_deaths_6mo_rolling,county_all_drugs_death_avg_6mo,county_all_drugs_rate_avg_6mo,county_fentanyl_deaths_6mo_rolling,county_fentanyl_death_avg_6mo,county_fentanyl_rate_avg_6mo,county_all_drugs_deaths_12mo_rolling,county_all_drugs_death_avg_12mo,county_all_drugs_rate_avg_12mo,county_fentanyl_deaths_12mo_rolling,county_fentanyl_death_avg_12mo,county_fentanyl_rate_avg_12mo,lagged_neighbor_all_drugs_deaths_2mo_rolling,lagged_neighbor_all_drugs_death_avg_2mo,lagged_neighbor_all_drugs_rate_avg_2mo,lagged_neighbor_fentanyl_deaths_2mo_rolling,lagged_neighbor_all_drugs_deaths_3mo_rolling,lagged_neighbor_all_drugs_death_avg_3mo,lagged_neighbor_all_drugs_rate_avg_3mo,lagged_neighbor_fentanyl_deaths_3mo_rolling
06109,TUOLUMNE,CA,2020-10-01,202010,2020,10,4,0.0,0.0,0.0,0.0,0.0,54515.0,14.0,4.0,8.0,1.0,1.7789908801303236,0.5082831086086643,1.016566217217328,0.1270707771521659,0.1805555555555555,-0.0361111111111111,0.0,0.0,0.0,0.0,9.5,1.207172382945577,3.0,1.0,1.8343575162799228,1.0,9.666666666666666,1.2283508458042713,7.0,1.1666666666666667,2.1451519883235437,1.0,0.16666666666666666,0.3057262527133205,12.0,1.0,1.8400592630265102,1.0,0.08333333333333333,0.15286312635666024,36.0,18.0,2.2872739887389875,19.0,53.0,17.666666666666668,2.244917063021599,29.0
06109,TUOLUMNE,CA,2020-11-01,202011,2020,11,4,1.0,1.834357516279923,0.0,0.0,0.0,54515.0,18.0,-2.0,9.0,-4.0,2.287273988738988,-0.2541415543043319,1.143636994369494,-0.508283108608664,0.1444444444444444,0.0527777777777777,1.0,0.5,0.9171787581399615,0.0,8.5,1.080101605793411,1.0,0.3333333333333333,0.611452505426641,0.0,9.333333333333334,1.1859939200868828,6.0,1.0,1.836891625945073,1.0,0.16666666666666666,0.3057262527133205,11.0,0.9166666666666666,1.6859290818372752,1.0,0.08333333333333333,0.15286312635666024,32.0,16.0,2.0331324344346555,17.0,54.0,18.0,2.287273988738988,28.0
06109,TUOLUMNE,CA,2020-12-01,202012,2020,12,4,1.0,1.834357516279923,0.0,0.0,0.0,54515.0,16.0,5.0,5.0,5.0,2.033132434434656,0.6353538857608299,0.63535388576083,0.63535388576083,0.1972222222222222,-0.0583333333333333,2.0,1.0,1.834357516279923,0.0,7.0,0.889495440065162,2.0,0.6666666666666666,1.222905010853282,0.0,7.333333333333333,0.9318523657825506,5.0,0.8333333333333334,1.5286312635666028,1.0,0.16666666666666666,0.3057262527133205,10.0,0.8333333333333334,1.53179890064804,1.0,0.08333333333333333,0.15286312635666024,34.0,17.0,2.160203211586822,14.0,48.0,16.0,2.033132434434656,22.0
06109,TUOLUMNE,CA,2021-01-01,202101,2021,1,1,2.0,3.668715032559846,1.0,1.834357516279923,0.5,54515.0,21.0,-3.0,10.0,-3.0,2.668486320195486,-0.3812123314564979,1.27070777152166,-0.3812123314564981,0.1388888888888888,0.0111111111111111,3.0,1.5,2.751536274419885,1.0,7.5,0.9530308286412449,4.0,1.3333333333333333,2.445810021706564,1.0,8.0,1.016566217217328,7.0,1.1666666666666667,2.1400837689932435,2.0,0.3333333333333333,0.611452505426641,11.0,0.9166666666666666,1.684028499588413,2.0,0.16666666666666666,0.3057262527133205,37.0,18.5,2.3508093773150707,15.0,55.0,18.333333333333332,2.3296309144563767,24.0
06109,TUOLUMNE,CA,2021-02-01,202102,2021,2,1,2.0,3.668715032559846,1.0,1.834357516279923,0.5,54515.0,18.0,-4.0,7.0,-1.0,2.287273988738988,-0.5082831086086643,0.8894954400651618,-0.1270707771521658,0.15,0.009090909090909,4.0,2.0,3.668715032559846,2.0,8.5,1.0801016057934107,5.0,1.6666666666666667,3.0572625271332057,2.0,7.333333333333333,0.9318523657825505,6.0,1.0,1.8343575162799233,2.0,0.3333333333333333,0.611452505426641,13.0,1.0833333333333333,1.9897547523017334,3.0,0.25,0.4585893790699808,39.0,19.5,2.477880154467237,17.0,55.0,18.333333333333332,2.3296309144563767,22.0
06109,TUOLUMNE,CA,2021-03-01,202103,2021,3,1,2.0,3.668715032559846,1.0,1.834357516279923,0.5,54515.0,14.0,4.0,6.0,2.0,1.7789908801303236,0.5082831086086643,0.7624246629129959,0.254141554304332,0.1590909090909091,-0.002840909090909,4.0,2.0,3.668715032559846,2.0,6.5,0.8259600514890788,6.0,2.0,3.668715032559846,3.0,7.666666666666667,0.9742092914999393,8.0,1.3333333333333333,2.445810021706564,3.0,0.5,0.9171787581399616,15.0,1.25,2.295481005015054,4.0,0.3333333333333333,0.611452505426641,32.0,16.0,2.0331324344346555,13.0,53.0,17.666666666666668,2.2449170630215995,23.0
06109,TUOLUMNE,CA,2021-04-01,202104,2021,4,2,3.0,5.503072548839769,1.0,1.834357516279923,0.3333333333333333,54515.0,18.0,-6.0,8.0,-1.0,2.287273988738988,-0.762424662912996,1.016566217217328,-0.1270707771521662,0.15625,0.0389880952380952,5.0,2.5,4.585893790699807,2.0,7.0,0.889495440065162,7.0,2.3333333333333335,4.280167537986487,3.0,7.0,0.8894954400651618,11.0,1.8333333333333333,3.3629887798465252,4.0,0.6666666666666666,1.222905010853282,18.0,1.5,2.7540703840850345,5.0,0.4166666666666667,0.7643156317833012,32.0,16.0,2.0331324344346555,14.0,50.0,16.666666666666668,2.1178462858694336,21.0
06109,TUOLUMNE,CA,2021-05-01,202105,2021,5,2,3.0,5.503072548839769,1.0,1.834357516279923,0.3333333333333333,54515.0,12.0,16.0,7.0,9.0,1.524849325825992,2.0331324344346555,0.8894954400651618,1.1436369943694942,0.1952380952380952,0.1623376623376624,6.0,3.0,5.503072548839769,2.0,7.5,0.953030828641245,8.0,2.6666666666666665,4.891620043413128,3.0,7.0,0.8894954400651618,13.0,2.1666666666666665,3.974441285273167,5.0,0.8333333333333334,1.5286312635666024,19.0,1.5833333333333333,2.90566645560912,6.0,0.5,0.9171787581399616,30.0,15.0,1.90606165728249,15.0,44.0,14.666666666666666,1.8637047315651014,21.0
06109,TUOLUMNE,CA,2021-06-01,202106,2021,6,2,0.0,0.0,0.0,0.0,0.0,54515.0,28.0,-3.0,16.0,-1.0,3.557981760260647,-0.3812123314564974,2.033132434434656,-0.1270707771521662,0.3575757575757576,0.1683501683501684,3.0,1.5,2.7515362744198844,1.0,11.5,1.4613139372499089,6.0,2.0,3.6687150325598457,2.0,10.333333333333334,1.3130646972390485,12.0,2.0,3.6687150325598465,5.0,0.8333333333333334,1.5286312635666024,17.0,1.4166666666666667,2.598673148063224,6.0,0.5,0.9171787581399616,40.0,20.0,2.5414155430433194,23.0,58.0,19.333333333333332,2.4567016916085422,31.0
06109,TUOLUMNE,CA,2021-07-01,202107,2021,7,3,2.0,3.650234527568396,1.0,1.825117263784198,0.5,54791.0,25.0,-2.0,15.0,-4.0,3.1767694288041497,-0.2424147699420156,1.9060616572824896,-0.5026746465223388,0.525925925925926,-0.2925925925925927,2.0,1.0,1.825117263784198,1.0,15.5,1.9695970458585728,5.0,1.6666666666666667,3.0511023588027215,2.0,12.666666666666666,1.609563177260769,12.0,2.0,3.6656349483946045,5.0,0.8333333333333334,1.5270912214839818,19.0,1.5833333333333333,2.9028593586939238,7.0,0.5833333333333334,1.0692718634553113,53.0,26.5,3.3673755945323984,31.0,65.0,21.666666666666668,2.753200171630263,38.0
