county,year,population,fips,state,pop_date
IMPERIAL,2019,180439.0,06025,CA,2019-07-01
IMPERIAL,2020,180267.0,06025,CA,2020-07-01
IMPERIAL,2021,179588.0,06025,CA,2021-07-01
IMPERIAL,2022,178845.0,06025,CA,2022-07-01
IMPERIAL,2023,179476.0,06025,CA,2023-07-01
INYO,2015,18097.0,06027,CA,2015-07-01
INYO,2016,17897.0,06027,CA,2016-07-01
INYO,2017,17819.0,06027,CA,2017-07-01
INYO,2018,17894.0,06027,CA,2018-07-01
INYO,2019,17993.0,06027,CA,2019-07-01
INYO,2020,18046.0,06027,CA,2020-07-01
INYO,2021,18982.0,06027,CA,2021-07-01
INYO,2022,18921.0,06027,CA,2022-07-01
INYO,2023,18896.0,06027,CA,2023-07-01
KERN,2015,876548.0,06029,CA,2015-07-01
KERN,2016,881094.0,06029,CA,2016-07-01
KERN,2017,887316.0,06029,CA,2017-07-01
KERN,2018,893618.0,06029,CA,2018-07-01
KERN,2019,898898.0,06029,CA,2019-07-01
KERN,2020,901362.0,06029,CA,2020-07-01
KERN,2021,904179.0,06029,CA,2021-07-01
KERN,2022,908107.0,06029,CA,2022-07-01
KERN,2023,907476.0,06029,CA,2023-07-01
KINGS,2015,149960.0,06031,CA,2015-07-01
KINGS,2016,149269.0,06031,CA,2016-07-01
KINGS,2017,149542.0,06031,CA,2017-07-01
KINGS,2018,151221.0,06031,CA,2018-07-01
KINGS,2019,152727.0,06031,CA,2019-07-01
KINGS,2020,152692.0,06031,CA,2020-07-01
KINGS,2021,150750.0,06031,CA,2021-07-01
KINGS,2022,151494.0,06031,CA,2022-07-01
KINGS,2023,151018.0,06031,CA,2023-07-01
LAKE,2015,64266.0,06033,CA,2015-07-01
LAKE,2016,63912.0,06033,CA,2016-07-01
LAKE,2017,64132.0,06033,CA,2017-07-01
LAKE,2018,64394.0,06033,CA,2018-07-01
LAKE,2019,64463.0,06033,CA,2019-07-01
LAKE,2020,64479.0,06033,CA,2020-07-01
LAKE,2021,67526.0,06033,CA,2021-07-01
LAKE,2022,67421.0,06033,CA,2022-07-01
LAKE,2023,66800.0,06033,CA,2023-07-01
LASSEN,2015,31256.0,06035,CA,2015-07-01
LASSEN,2016,30715.0,06035,CA,2016-07-01
LASSEN,2017,30919.0,06035,CA,2017-07-01
LASSEN,2018,30658.0,06035,CA,2018-07-01
LASSEN,2019,30694.0,06035,CA,2019-07-01
LASSEN,2020,30016.0,06035,CA,2020-07-01
LASSEN,2021,30745.0,06035,CA,2021-07-01
LASSEN,2022,29533.0,06035,CA,2022-07-01
LASSEN,2023,28275.0,06035,CA,2023-07-01
LOS ANGELES,2015,10077263.0,06037,CA,2015-07-01
LOS ANGELES,2016,10094865.0,06037,CA,2016-07-01
LOS ANGELES,2017,10092365.0,06037,CA,2017-07-01
LOS ANGELES,2018,10061533.0,06037,CA,2018-07-01
LOS ANGELES,2019,10011602.0,06037,CA,2019-07-01
LOS ANGELES,2020,9943046.0,06037,CA,2020-07-01
LOS ANGELES,2021,9942011.0,06037,CA,2021-07-01
LOS ANGELES,2022,9834503.0,06037,CA,2022-07-01
LOS ANGELES,2023,9761210.0,06037,CA,2023-07-01
MADERA,2015,153448.0,06039,CA,2015-07-01
MADERA,2016,153694.0,06039,CA,2016-07-01
MADERA,2017,155079.0,06039,CA,2017-07-01
MADERA,2018,156373.0,06039,CA,2018-07-01
MADERA,2019,156717.0,06039,CA,2019-07-01
MADERA,2020,157761.0,06039,CA,2020-07-01
MADERA,2021,155775.0,06039,CA,2021-07-01
MADERA,2022,157205.0,06039,CA,2022-07-01
MADERA,2023,158148.0,06039,CA,2023-07-01
MARIN,2015,260974.0,06041,CA,2015-07-01
MARIN,2016,260722.0,06041,CA,2016-07-01
MARIN,2017,259975.0,06041,CA,2017-07-01
MARIN,2018,260091.0,06041,CA,2018-07-01
MARIN,2019,259085.0,06041,CA,2019-07-01
MARIN,2020,257332.0,06041,CA,2020-07-01
MARIN,2021,259087.0,06041,CA,2021-07-01
MARIN,2022,255470.0,06041,CA,2022-07-01
MARIN,2023,252959.0,06041,CA,2023-07-01
MARIPOSA,2015,17653.0,06043,CA,2015-07-01
MARIPOSA,2016,17498.0,06043,CA,2016-07-01
MARIPOSA,2017,17461.0,06043,CA,2017-07-01
MARIPOSA,2018,17361.0,06043,CA,2018-07-01
MARIPOSA,2019,17117.0,06043,CA,2019-07-01
MARIPOSA,2020,17160.0,06043,CA,2020-07-01
