County,Sex,Age Group,7/1/2023,7/1/2024,7/1/2025
Kings County,Female,30-34,4709,4749,5025
Kings County,Female,35-39,4022,4147,4143
Kings County,Female,40-44,3763,3813,3815
Kings County,Female,45-49,3270,3306,3441
Kings County,Female,50-54,2868,2934,2972
Kings County,Female,55-59,2973,2878,2834
Kings County,Female,60-64,3204,3196,3120
Kings County,Female,65-69,3072,3114,3138
Kings County,Female,70-74,2480,2533,2620
Kings County,Female,75-79,1714,1847,1936
Kings County,Female,80-84,1134,1163,1191
Kings County,Female,85-89,736,740,770
Kings County,Female,90-94,428,439,453
Kings County,Female,95-99,182,181,182
Kings County,Female,100+,25,34,40
Kings County,Male,0,1138,1100,1070
Kings County,Male,1-4,4378,4391,4407
Kings County,Male,5-9,5886,5763,5609
Kings County,Male,10-14,6390,6297,6251
Kings County,Male,15-19,6496,6569,6485
Kings County,Male,20-24,5734,5678,5893
Kings County,Male,25-29,5517,5696,5657
Kings County,Male,30-34,5881,6057,6164
Kings County,Male,35-39,5993,6023,6096
Kings County,Male,40-44,6052,6096,6219
Kings County,Male,45-49,5269,5427,5408
Kings County,Male,50-54,5182,5071,5141
Kings County,Male,55-59,4928,4936,4930
Kings County,Male,60-64,4581,4527,4548
Kings County,Male,65-69,3959,3940,3814
Kings County,Male,70-74,2670,2771,3004
Kings County,Male,75-79,1760,1866,1875
Kings County,Male,80-84,1054,1128,1182
Kings County,Male,85-89,583,578,592
Kings County,Male,90-94,253,269,279
Kings County,Male,95-99,102,87,82
Kings County,Male,100+,13,11,16
Lake County,Female,0,374,391,390
Lake County,Female,1-4,1427,1460,1503
Lake County,Female,5-9,1958,1880,1860
Lake County,Female,10-14,1881,1959,1970
Lake County,Female,15-19,1903,1868,1873
Lake County,Female,20-24,1921,1891,1886
Lake County,Female,25-29,2101,2042,2015
Lake County,Female,30-34,2001,2122,2167
Lake County,Female,35-39,1729,1751,1765
Lake County,Female,40-44,1580,1608,1650
Lake County,Female,45-49,1579,1587,1607
Lake County,Female,50-54,1831,1758,1675
Lake County,Female,55-59,2031,1920,1865
Lake County,Female,60-64,2402,2407,2305
Lake County,Female,65-69,2640,2522,2470
Lake County,Female,70-74,2374,2448,2506
Lake County,Female,75-79,1823,1930,1966
Lake County,Female,80-84,1161,1205,1287
Lake County,Female,85-89,689,725,745
Lake County,Female,90-94,405,386,387
Lake County,Female,95-99,165,170,183
Lake County,Female,100+,47,34,33
Lake County,Male,0,404,407,415
Lake County,Male,1-4,1459,1508,1537
Lake County,Male,5-9,1944,1917,1921
Lake County,Male,10-14,1952,1957,1953
Lake County,Male,15-19,2025,2012,1963
Lake County,Male,20-24,2027,2032,2050
Lake County,Male,25-29,2291,2248,2198
Lake County,Male,30-34,2196,2308,2388
Lake County,Male,35-39,1757,1795,1862
Lake County,Male,40-44,1857,1827,1840
Lake County,Male,45-49,1593,1642,1643
Lake County,Male,50-54,1690,1614,1583
Lake County,Male,55-59,1882,1850,1775
Lake County,Male,60-64,2248,2125,2077
Lake County,Male,65-69,2269,2236,2257
Lake County,Male,70-74,2131,2094,2051
Lake County,Male,75-79,1691,1786,1839
Lake County,Male,80-84,955,1053,1097
Lake County,Male,85-89,622,610,598
Lake County,Male,90-94,284,275,301
Lake County,Male,95-99,90,98,90
Lake County,Male,100+,13,16,24
Lassen County,Female,0,106,118,102
Lassen County,Female,1-4,448,417,412
Lassen County,Female,5-9,623,562,533
Lassen County,Female,10-14,685,652,622
Lassen County,Female,15-19,639,668,668
Lassen County,Female,20-24,636,564,513
Lassen County,Female,25-29,725,687,636
Lassen County,Female,30-34,517,543,564
Lassen County,Female,35-39,461,423,389
Lassen County,Female,40-44,445,456,470
Lassen County,Female,45-49,424,398,375
Lassen County,Female,50-54,495,422,372
Lassen County,Female,55-59,556,500,452
Lassen County,Female,60-64,754,717,683
Lassen County,Female,65-69,855,845,793
Lassen County,Female,70-74,807,829,862
Lassen County,Female,75-79,571,609,657
Lassen County,Female,80-84,368,393,390
Lassen County,Female,85-89,200,228,241
Lassen County,Female,90-94,130,124,116
Lassen County,Female,95-99,48,55,59
Lassen County,Female,100+,16,17,19
Lassen County,Male,0,122,102,112
Lassen County,Male,1-4,497,501,494
Lassen County,Male,5-9,705,656,609
Lassen County,Male,10-14,715,709,672
Lassen County,Male,15-19,857,836,827
Lassen County,Male,20-24,1549,1425,1407
Lassen County,Male,25-29,1864,1809,1759
Lassen County,Male,30-34,1799,1756,1694
Lassen County,Male,35-39,1678,1639,1609
Lassen County,Male,40-44,1460,1453,1454
Lassen County,Male,45-49,1085,1055,1086
Lassen County,Male,50-54,991,961,871
Lassen County,Male,55-59,808,780,743
Lassen County,Male,60-64,912,876,899
Lassen County,Male,65-69,905,915,875
Lassen County,Male,70-74,835,859,866
Lassen County,Male,75-79,600,626,666
Lassen County,Male,80-84,329,355,395
Lassen County,Male,85-89,185,196,206
Lassen County,Male,90-94,104,109,112
Lassen County,Male,95-99,49,43,44
Lassen County,Male,100+,5,8,9
Los Angeles County,Female,0,45609,44988,44752
Los Angeles County,Female,1-4,186296,180849,177088
Los Angeles County,Female,5-9,285504,272867,257776
Los Angeles County,Female,10-14,304550,302390,301451
Los Angeles County,Female,15-19,301149,300281,294863
Los Angeles County,Female,20-24,362321,370153,378400
Los Angeles County,Female,25-29,360189,353160,339907
Los Angeles County,Female,30-34,333008,343725,357006
Los Angeles County,Female,35-39,300784,293561,288188
Los Angeles County,Female,40-44,306896,306811,300314
Los Angeles County,Female,45-49,291348,287099,284517
Los Angeles County,Female,50-54,305080,300813,292601
Los Angeles County,Female,55-59,286089,282445,284648
Los Angeles County,Female,60-64,289418,283562,275298
Los Angeles County,Female,65-69,284706,284253,282130
Los Angeles County,Female,70-74,235751,240609,246422
Los Angeles County,Female,75-79,176609,185344,195255
Los Angeles County,Female,80-84,118098,123018,127987
Los Angeles County,Female,85-89,75320,77069,79274
Los Angeles County,Female,90-94,46860,46978,47023
Los Angeles County,Female,95-99,21880,22237,22685
Los Angeles County,Female,100+,4694,4982,5524
Los Angeles County,Male,0,48155,47895,47921
Los Angeles County,Male,1-4,198191,190677,186697
Los Angeles County,Male,5-9,302246,288089,272323
Los Angeles County,Male,10-14,324818,323827,321467
Los Angeles County,Male,15-19,315392,311262,311579
Los Angeles County,Male,20-24,396144,404378,406781
Los Angeles County,Male,25-29,380199,367119,364718
Los Angeles County,Male,30-34,367100,379790,385403
Los Angeles County,Male,35-39,306974,304542,305717
Los Angeles County,Male,40-44,309052,304894,301389
Los Angeles County,Male,45-49,281781,279211,279700
Los Angeles County,Male,50-54,293397,285355,278086
Los Angeles County,Male,55-59,274612,274367,275820
Los Angeles County,Male,60-64,270188,263566,258177
Los Angeles County,Male,65-69,251874,251838,252193
Los Angeles County,Male,70-74,195536,201300,207700
Los Angeles County,Male,75-79,140664,147234,154432
Los Angeles County,Male,80-84,84958,88977,92817
Los Angeles County,Male,85-89,49106,50970,52336
Los Angeles County,Male,90-94,26543,26002,26533
Los Angeles County,Male,95-99,9306,9319,9415
Los Angeles County,Male,100+,1670,1852,2020
Madera County,Female,0,968,1073,1068
Madera County,Female,1-4,4079,4029,4082
Madera County,Female,5-9,5516,5441,5328
Madera County,Female,10-14,5810,5724,5779
Madera County,Female,15-19,6151,6104,6020
Madera County,Female,20-24,6011,6081,6190
Madera County,Female,25-29,6423,6354,6192
Madera County,Female,30-34,6191,6327,6397
Madera County,Female,35-39,5055,5214,5395
Madera County,Female,40-44,4835,4816,4857
Madera County,Female,45-49,4587,4664,4656
Madera County,Female,50-54,4264,4213,4290
Madera County,Female,55-59,3904,3951,3913
Madera County,Female,60-64,3923,3881,3861
Madera County,Female,65-69,3905,3831,3855
Madera County,Female,70-74,3526,3632,3683
Madera County,Female,75-79,2832,2920,2993
Madera County,Female,80-84,1935,2049,2124
Madera County,Female,85-89,1149,1205,1275
Madera County,Female,90-94,650,641,648
Madera County,Female,95-99,210,244,256
Madera County,Female,100+, -   , -   ,15
Madera County,Male,0,1126,1053,1083
Madera County,Male,1-4,4263,4335,4307
Madera County,Male,5-9,5748,5631,5545
Madera County,Male,10-14,6020,6032,5994
Madera County,Male,15-19,6239,6200,6144
Madera County,Male,20-24,5871,5759,5780
Madera County,Male,25-29,5979,5941,5849
Madera County,Male,30-34,6123,6264,6326
Madera County,Male,35-39,4777,4967,5209
Madera County,Male,40-44,4129,4173,4154
Madera County,Male,45-49,3743,3763,3875
Madera County,Male,50-54,3631,3776,3728
Madera County,Male,55-59,3443,3422,3476
Madera County,Male,60-64,3458,3415,3354
Madera County,Male,65-69,3425,3391,3352
Madera County,Male,70-74,3019,3039,3016
Madera County,Male,75-79,2296,2395,2499
Madera County,Male,80-84,1546,1566,1629
Madera County,Male,85-89,902,946,1000
Madera County,Male,90-94,425,434,432
Madera County,Male,95-99,160,174,151
Madera County,Male,100+,29,32,43
Marin County,Female,0,916,894,859
Marin County,Female,1-4,4057,4022,3963
Marin County,Female,5-9,5724,5482,5212
Marin County,Female,10-14,6258,6112,6088
Marin County,Female,15-19,6941,6800,6504
Marin County,Female,20-24,6025,5559,5389
Marin County,Female,25-29,6316,6163,5988
Marin County,Female,30-34,5058,5456,5709
Marin County,Female,35-39,5023,4765,4694
Marin County,Female,40-44,5759,5577,5293
Marin County,Female,45-49,6599,6191,6003
Marin County,Female,50-54,8632,8134,7479
Marin County,Female,55-59,9641,9519,9437
Marin County,Female,60-64,10535,10277,10070
Marin County,Female,65-69,10648,10602,10715
Marin County,Female,70-74,10117,10255,10257
Marin County,Female,75-79,8322,8825,9251
Marin County,Female,80-84,5304,5703,6095
Marin County,Female,85-89,2891,3142,3370
Marin County,Female,90-94,1798,1780,1803
Marin County,Female,95-99,798,814,849
Marin County,Female,100+,239,249,241
Marin County,Male,0,954,942,927
Marin County,Male,1-4,4413,4275,4157
Marin County,Male,5-9,5911,5766,5690
Marin County,Male,10-14,6431,6293,6289
Marin County,Male,15-19,7295,6981,6658
Marin County,Male,20-24,6017,5877,5892
Marin County,Male,25-29,6543,6246,5845
Marin County,Male,30-34,6187,6428,6698
Marin County,Male,35-39,6041,5986,5886
Marin County,Male,40-44,6297,6244,6166
Marin County,Male,45-49,6538,6183,5993
Marin County,Male,50-54,8712,8344,7810
Marin County,Male,55-59,9216,9085,8953
Marin County,Male,60-64,10114,10009,9837
Marin County,Male,65-69,9426,9450,9493
Marin County,Male,70-74,8527,8709,8759
Marin County,Male,75-79,7252,7310,7607
Marin County,Male,80-84,4407,4826,5160
Marin County,Male,85-89,2361,2555,2670
Marin County,Male,90-94,1147,1196,1272
Marin County,Male,95-99,386,357,369
Marin County,Male,100+,32,52,68
Mariposa County,Female,0,72,76,81
Mariposa County,Female,1-4,277,277,279
Mariposa County,Female,5-9,365,376,381
Mariposa County,Female,10-14,367,351,346
Mariposa County,Female,15-19,388,413,404
Mariposa County,Female,20-24,428,411,416
Mariposa County,Female,25-29,531,507,486
Mariposa County,Female,30-34,438,481,530
Mariposa County,Female,35-39,357,370,371
Mariposa County,Female,40-44,330,332,355
Mariposa County,Female,45-49,331,350,345
Mariposa County,Female,50-54,337,325,324
Mariposa County,Female,55-59,460,421,399
Mariposa County,Female,60-64,686,636,587
Mariposa County,Female,65-69,781,779,748
Mariposa County,Female,70-74,720,725,756
Mariposa County,Female,75-79,571,598,624
Mariposa County,Female,80-84,469,476,508
Mariposa County,Female,85-89,261,289,287
Mariposa County,Female,90-94,180,162,171
Mariposa County,Female,95-99,59,75,64
Mariposa County,Female,100+,24,17,23
Mariposa County,Male,0,80,75,81
Mariposa County,Male,1-4,318,328,321
Mariposa County,Male,5-9,399,372,389
Mariposa County,Male,10-14,380,401,403
Mariposa County,Male,15-19,387,402,392
Mariposa County,Male,20-24,458,452,436
Mariposa County,Male,25-29,508,478,494
Mariposa County,Male,30-34,459,515,530
Mariposa County,Male,35-39,409,437,447
Mariposa County,Male,40-44,414,403,416
Mariposa County,Male,45-49,349,349,351
Mariposa County,Male,50-54,393,393,360
Mariposa County,Male,55-59,453,400,403
Mariposa County,Male,60-64,644,613,565
Mariposa County,Male,65-69,760,757,737
Mariposa County,Male,70-74,669,654,653
Mariposa County,Male,75-79,590,621,634
Mariposa County,Male,80-84,435,425,432
Mariposa County,Male,85-89,251,266,283
Mariposa County,Male,90-94,127,139,127
Mariposa County,Male,95-99,48,46,58
Mariposa County,Male,100+,25,21,20
Mendocino County,Female,0,448,473,439
Mendocino County,Female,1-4,1846,1802,1827
Mendocino County,Female,5-9,2549,2506,2460
Mendocino County,Female,10-14,2620,2626,2650
Mendocino County,Female,15-19,2593,2563,2572
Mendocino County,Female,20-24,2714,2673,2627
Mendocino County,Female,25-29,2794,2712,2736
Mendocino County,Female,30-34,2492,2675,2769
Mendocino County,Female,35-39,2479,2419,2304
Mendocino County,Female,40-44,2456,2493,2577
Mendocino County,Female,45-49,2238,2266,2272
Mendocino County,Female,50-54,2365,2278,2223
Mendocino County,Female,55-59,2228,2144,2184
Mendocino County,Female,60-64,2774,2643,2485
Mendocino County,Female,65-69,3133,3022,2883
Mendocino County,Female,70-74,3377,3336,3261
Mendocino County,Female,75-79,2553,2727,2919
Mendocino County,Female,80-84,1422,1539,1661
Mendocino County,Female,85-89,757,773,842
Mendocino County,Female,90-94,498,484,454
Mendocino County,Female,95-99,242,228,234
Mendocino County,Female,100+,94,106,88
Mendocino County,Male,0,491,472,515
Mendocino County,Male,1-4,1864,1899,1884
Mendocino County,Male,5-9,2664,2599,2557
Mendocino County,Male,10-14,2806,2839,2781
Mendocino County,Male,15-19,2801,2783,2819
Mendocino County,Male,20-24,2670,2619,2614
Mendocino County,Male,25-29,2951,2871,2737
Mendocino County,Male,30-34,2857,3040,3141
Mendocino County,Male,35-39,2736,2739,2750
Mendocino County,Male,40-44,2750,2772,2736
Mendocino County,Male,45-49,2477,2417,2442
Mendocino County,Male,50-54,2472,2495,2470
Mendocino County,Male,55-59,2321,2240,2219
Mendocino County,Male,60-64,2458,2343,2220
Mendocino County,Male,65-69,2679,2572,2503
Mendocino County,Male,70-74,2884,2797,2675
Mendocino County,Male,75-79,2344,2470,2584
Mendocino County,Male,80-84,1182,1322,1425
Mendocino County,Male,85-89,586,582,623
Mendocino County,Male,90-94,297,292,277
Mendocino County,Male,95-99,103,108,124
Mendocino County,Male,100+,27,23,17
Merced County,Female,0,2013,2191,2175
Merced County,Female,1-4,7798,7776,8019
Merced County,Female,5-9,10435,10372,10369
Merced County,Female,10-14,10792,10775,10797
Merced County,Female,15-19,12202,12054,11798
Merced County,Female,20-24,13110,13643,13880
Merced County,Female,25-29,11041,11059,11301
Merced County,Female,30-34,10979,11342,11463
Merced County,Female,35-39,8355,8706,9119
Merced County,Female,40-44,8298,8303,8242
Merced County,Female,45-49,7754,7789,8009
Merced County,Female,50-54,7641,7728,7744
Merced County,Female,55-59,7055,7175,7238
Merced County,Female,60-64,6888,7028,7034
Merced County,Female,65-69,6280,6330,6537
Merced County,Female,70-74,4846,5128,5249
Merced County,Female,75-79,3665,3779,3926
Merced County,Female,80-84,2251,2395,2611
Merced County,Female,85-89,1442,1492,1430
Merced County,Female,90-94,803,786,794
Merced County,Female,95-99,398,386,395
Merced County,Female,100+,70,71,66
Merced County,Male,0,2205,2175,2281
Merced County,Male,1-4,8186,8420,8512
Merced County,Male,5-9,11106,10982,10816
Merced County,Male,10-14,11363,11389,11448
Merced County,Male,15-19,12723,12471,12331
Merced County,Male,20-24,14091,14582,14616
Merced County,Male,25-29,11549,11409,11653
Merced County,Male,30-34,11537,12039,12357
Merced County,Male,35-39,8925,9165,9447
Merced County,Male,40-44,8605,8665,8677
Merced County,Male,45-49,7527,7806,8046
Merced County,Male,50-54,7521,7444,7446
Merced County,Male,55-59,7038,7136,7180
Merced County,Male,60-64,6564,6502,6542
Merced County,Male,65-69,5766,5984,6030
Merced County,Male,70-74,4422,4486,4738
Merced County,Male,75-79,3092,3242,3384
Merced County,Male,80-84,1756,1870,1946
Merced County,Male,85-89,916,972,1027
Merced County,Male,90-94,480,445,466
Merced County,Male,95-99,208,176,141
Merced County,Male,100+,16,33,45
Modoc County,Female,0,26,27,44
Modoc County,Female,1-4,61,67,83
Modoc County,Female,5-9,191,173,141
Modoc County,Female,10-14,251,235,226
Modoc County,Female,15-19,260,266,275
Modoc County,Female,20-24,275,270,256
Modoc County,Female,25-29,315,310,296
Modoc County,Female,30-34,251,286,312
Modoc County,Female,35-39,174,177,190
Modoc County,Female,40-44,186,173,176
Modoc County,Female,45-49,173,198,197
Modoc County,Female,50-54,194,183,170
Modoc County,Female,55-59,228,221,221
Modoc County,Female,60-64,263,250,241
Modoc County,Female,65-69,317,300,292
Modoc County,Female,70-74,399,384,363
Modoc County,Female,75-79,302,330,338
Modoc County,Female,80-84,230,236,246
Modoc County,Female,85-89,126,126,142
Modoc County,Female,90-94,65,74,72
Modoc County,Female,95-99,30,26,30
Modoc County,Female,100+,16,11,10
Modoc County,Male,0,27,26,51
Modoc County,Male,1-4,59,65,69
Modoc County,Male,5-9,205,191,177
Modoc County,Male,10-14,217,209,184
Modoc County,Male,15-19,263,250,268
Modoc County,Male,20-24,301,294,293
Modoc County,Male,25-29,344,319,290
Modoc County,Male,30-34,252,294,340
Modoc County,Male,35-39,190,205,209
Modoc County,Male,40-44,180,188,181
Modoc County,Male,45-49,198,188,192
Modoc County,Male,50-54,262,253,237
Modoc County,Male,55-59,209,217,232
Modoc County,Male,60-64,258,260,240
Modoc County,Male,65-69,308,287,260
Modoc County,Male,70-74,341,338,342
Modoc County,Male,75-79,313,312,332
Modoc County,Male,80-84,208,223,213
Modoc County,Male,85-89,108,122,132
Modoc County,Male,90-94,52,62,64
Modoc County,Male,95-99,24,25,26
Modoc County,Male,100+,18,12,12
Mono County,Female,0,50,40,49
Mono County,Female,1-4,211,207,189
Mono County,Female,5-9,328,301,293
Mono County,Female,10-14,382,352,348
Mono County,Female,15-19,404,427,421
Mono County,Female,20-24,342,366,386
Mono County,Female,25-29,356,346,331
Mono County,Female,30-34,372,360,370
Mono County,Female,35-39,362,359,348
Mono County,Female,40-44,380,394,391
Mono County,Female,45-49,264,289,294
Mono County,Female,50-54,320,300,286
Mono County,Female,55-59,345,302,299
Mono County,Female,60-64,459,465,427
Mono County,Female,65-69,513,496,496
Mono County,Female,70-74,461,472,493
Mono County,Female,75-79,285,332,357
Mono County,Female,80-84,195,201,216
Mono County,Female,85-89,126,139,153
Mono County,Female,90-94,50,58,60
Mono County,Female,95-99,24,20,23
Mono County,Female,100+,12,13,13
Mono County,Male,0,48,63,50
Mono County,Male,1-4,215,205,211
Mono County,Male,5-9,360,341,311
Mono County,Male,10-14,368,370,382
Mono County,Male,15-19,435,424,406
Mono County,Male,20-24,349,355,389
Mono County,Male,25-29,360,340,330
Mono County,Male,30-34,397,414,408
Mono County,Male,35-39,499,487,464
Mono County,Male,40-44,503,503,497
Mono County,Male,45-49,389,397,410
Mono County,Male,50-54,336,332,336
Mono County,Male,55-59,369,369,356
Mono County,Male,60-64,472,423,411
Mono County,Male,65-69,533,564,541
Mono County,Male,70-74,508,509,506
Mono County,Male,75-79,349,363,407
Mono County,Male,80-84,213,236,237
Mono County,Male,85-89,115,124,147
Mono County,Male,90-94,102,88,82
Mono County,Male,95-99,20,34,44
Mono County,Male,100+,2,2,3
Monterey County,Female,0,2599,2518,2538
Monterey County,Female,1-4,11488,11013,10539
Monterey County,Female,5-9,15231,15023,14780
Monterey County,Female,10-14,16111,16240,16298
Monterey County,Female,15-19,15480,15427,15352
Monterey County,Female,20-24,13489,13281,13002
Monterey County,Female,25-29,13792,13522,13706
Monterey County,Female,30-34,14233,14815,15127
Monterey County,Female,35-39,12429,12326,11940
Monterey County,Female,40-44,12235,12020,11905
Monterey County,Female,45-49,11139,11221,11391
Monterey County,Female,50-54,11099,11236,11140
Monterey County,Female,55-59,10603,10598,10643
Monterey County,Female,60-64,11603,11443,11000
Monterey County,Female,65-69,11176,11128,11308
Monterey County,Female,70-74,9508,9617,9713
Monterey County,Female,75-79,7233,7628,8062
Monterey County,Female,80-84,4414,4617,4861
Monterey County,Female,85-89,2752,2775,2817
Monterey County,Female,90-94,1924,1905,1868
Monterey County,Female,95-99,985,965,976
Monterey County,Female,100+,226,241,250
Monterey County,Male,0,2674,2696,2655
Monterey County,Male,1-4,11524,11214,10917
Monterey County,Male,5-9,16034,15702,15333
Monterey County,Male,10-14,17043,16944,17006
Monterey County,Male,15-19,16585,16519,16505
Monterey County,Male,20-24,14562,14510,14536
Monterey County,Male,25-29,14735,14281,13616
Monterey County,Male,30-34,16880,17286,17793
Monterey County,Male,35-39,15037,14369,14231
Monterey County,Male,40-44,14193,14299,14005
Monterey County,Male,45-49,13512,13396,13577
Monterey County,Male,50-54,12948,13219,13245
Monterey County,Male,55-59,12368,12379,12631
Monterey County,Male,60-64,11957,11827,11715
Monterey County,Male,65-69,10720,10762,10745
Monterey County,Male,70-74,8952,9020,9180
Monterey County,Male,75-79,6465,6901,7280
Monterey County,Male,80-84,3530,3755,4041
Monterey County,Male,85-89,1953,2039,2139
Monterey County,Male,90-94,1140,1082,1006
Monterey County,Male,95-99,451,405,455
Monterey County,Male,100+,127,137,113
Napa County,Female,0,581,594,602
Napa County,Female,1-4,2279,2197,2211
Napa County,Female,5-9,3148,3022,2868
Napa County,Female,10-14,3457,3350,3190
Napa County,Female,15-19,3657,3574,3511
Napa County,Female,20-24,3930,3741,3581
Napa County,Female,25-29,4840,4815,4629
Napa County,Female,30-34,4655,4978,5283
Napa County,Female,35-39,3472,3408,3330
Napa County,Female,40-44,3716,3532,3501
Napa County,Female,45-49,3614,3669,3733
Napa County,Female,50-54,3684,3562,3441
Napa County,Female,55-59,4081,3950,3794
Napa County,Female,60-64,4769,4686,4534
Napa County,Female,65-69,4848,4778,4866
Napa County,Female,70-74,4237,4433,4500
Napa County,Female,75-79,3407,3529,3758
Napa County,Female,80-84,2197,2363,2473
Napa County,Female,85-89,1369,1411,1451
Napa County,Female,90-94,766,731,744
Napa County,Female,95-99,336,320,363
Napa County,Female,100+,90,110,90
Napa County,Male,0,646,634,647
Napa County,Male,1-4,2432,2482,2453
Napa County,Male,5-9,3359,3216,3099
Napa County,Male,10-14,3714,3557,3491
Napa County,Male,15-19,4021,3842,3707
Napa County,Male,20-24,4137,3931,3840
Napa County,Male,25-29,4944,4848,4747
Napa County,Male,30-34,4897,5060,5207
Napa County,Male,35-39,4074,4027,4006
Napa County,Male,40-44,4080,3995,3882
Napa County,Male,45-49,3720,3840,3896
Napa County,Male,50-54,3809,3685,3605
Napa County,Male,55-59,4060,3914,3859
Napa County,Male,60-64,4674,4657,4548
Napa County,Male,65-69,4477,4580,4578
Napa County,Male,70-74,3935,3898,3932
Napa County,Male,75-79,3189,3358,3530
Napa County,Male,80-84,1826,1959,2082
Napa County,Male,85-89,984,1062,1116
Napa County,Male,90-94,441,406,419
Napa County,Male,95-99,28,48,63
Napa County,Male,100+, -   , -   , -   
Nevada County,Female,0,400,376,412
Nevada County,Female,1-4,1533,1563,1575
Nevada County,Female,5-9,2067,2036,1982
Nevada County,Female,10-14,1953,1918,1943
Nevada County,Female,15-19,2231,2153,2069
Nevada County,Female,20-24,2582,2411,2321
Nevada County,Female,25-29,3028,2984,2834
Nevada County,Female,30-34,2648,2817,3024
Nevada County,Female,35-39,2257,2210,2201
Nevada County,Female,40-44,2136,2139,2112
Nevada County,Female,45-49,2279,2230,2210
Nevada County,Female,50-54,2486,2333,2184
Nevada County,Female,55-59,3017,2827,2712
Nevada County,Female,60-64,4273,4022,3771
Nevada County,Female,65-69,4734,4702,4637
Nevada County,Female,70-74,4586,4694,4715
Nevada County,Female,75-79,3611,3825,4028
Nevada County,Female,80-84,2348,2437,2562
Nevada County,Female,85-89,1165,1271,1389
Nevada County,Female,90-94,720,705,682
Nevada County,Female,95-99,356,328,325
Nevada County,Female,100+,15,37,43
Nevada County,Male,0,415,439,416
Nevada County,Male,1-4,1592,1577,1604
Nevada County,Male,5-9,2049,1996,1995
Nevada County,Male,10-14,2058,2067,2053
Nevada County,Male,15-19,2387,2314,2237
Nevada County,Male,20-24,2647,2473,2368
Nevada County,Male,25-29,3275,3174,3046
Nevada County,Male,30-34,2930,3078,3238
Nevada County,Male,35-39,2415,2394,2368
Nevada County,Male,40-44,2483,2439,2423
Nevada County,Male,45-49,2321,2348,2341
Nevada County,Male,50-54,2586,2485,2318
Nevada County,Male,55-59,2918,2803,2780
Nevada County,Male,60-64,3815,3681,3450
Nevada County,Male,65-69,4120,3999,4006
Nevada County,Male,70-74,4131,4130,4042
Nevada County,Male,75-79,3296,3511,3683
Nevada County,Male,80-84,2071,2167,2248
Nevada County,Male,85-89,1111,1149,1213
Nevada County,Male,90-94,525,520,534
Nevada County,Male,95-99,188,174,183
Nevada County,Male,100+,38,30,27
Orange County,Female,0,15555,15383,15526
Orange County,Female,1-4,61253,60101,59776
Orange County,Female,5-9,91426,89485,86430
Orange County,Female,10-14,92181,91871,92218
Orange County,Female,15-19,94844,93819,93127
Orange County,Female,20-24,105914,107747,108433
Orange County,Female,25-29,107864,103850,101193
Orange County,Female,30-34,102725,107055,109393
Orange County,Female,35-39,92608,90177,90532
Orange County,Female,40-44,96835,97335,96633
Orange County,Female,45-49,93764,92621,91937
Orange County,Female,50-54,105593,103146,100139
Orange County,Female,55-59,103906,103608,104523
Orange County,Female,60-64,105108,104677,103479
Orange County,Female,65-69,94326,96268,98218
Orange County,Female,70-74,75362,77385,80086
Orange County,Female,75-79,59458,62335,65011
Orange County,Female,80-84,40246,42173,44340
Orange County,Female,85-89,25073,25896,26695
Orange County,Female,90-94,14034,14150,14278
Orange County,Female,95-99,5265,5591,5845
Orange County,Female,100+,468,642,872
Orange County,Male,0,16572,16644,16711
Orange County,Male,1-4,65938,64248,63463
Orange County,Male,5-9,96125,94526,91780
Orange County,Male,10-14,96363,97476,98683
Orange County,Male,15-19,100719,99461,98132
Orange County,Male,20-24,109233,110946,112891
Orange County,Male,25-29,110246,106293,103217
Orange County,Male,30-34,107046,111081,113820
Orange County,Male,35-39,97540,96549,95212
Orange County,Male,40-44,100298,101814,101504
Orange County,Male,45-49,91394,90892,91664
Orange County,Male,50-54,102666,99922,97103
Orange County,Male,55-59,99551,98813,99143
Orange County,Male,60-64,99832,99870,98304
Orange County,Male,65-69,86803,88989,91603
Orange County,Male,70-74,65838,67510,70215
Orange County,Male,75-79,50458,53072,55343
Orange County,Male,80-84,31757,33544,35276
Orange County,Male,85-89,17858,18539,19368
Orange County,Male,90-94,8202,8457,8734
Orange County,Male,95-99,2129,2365,2530
Orange County,Male,100+,99,130,266
Placer County,Female,0,1895,1946,2061
Placer County,Female,1-4,7430,7439,7747
Placer County,Female,5-9,10548,10490,10354
Placer County,Female,10-14,10995,10906,10868
Placer County,Female,15-19,12246,12005,11777
Placer County,Female,20-24,11893,11835,12083
Placer County,Female,25-29,13937,13817,13308
Placer County,Female,30-34,14023,14528,15245
Placer County,Female,35-39,12460,12454,12458
Placer County,Female,40-44,12333,12535,12967
Placer County,Female,45-49,12264,12311,12216
Placer County,Female,50-54,13763,13338,13003
Placer County,Female,55-59,14028,13953,14074
Placer County,Female,60-64,14751,14935,14851
Placer County,Female,65-69,13176,13627,13961
Placer County,Female,70-74,11552,11653,11994
Placer County,Female,75-79,9387,9896,10335
Placer County,Female,80-84,6415,6733,7070
Placer County,Female,85-89,3957,4112,4205
Placer County,Female,90-94,2042,2116,2240
Placer County,Female,95-99,824,839,821
Placer County,Female,100+,49,61,113
Placer County,Male,0,2136,2189,2098
Placer County,Male,1-4,7746,8032,8445
Placer County,Male,5-9,10972,10934,10784
Placer County,Male,10-14,11646,11471,11576
Placer County,Male,15-19,12712,12555,12174
