County,Sex,Age Group,7/1/2023,7/1/2024,7/1/2025
Butte County,Female,25-29,6073,6124,6634
Butte County,Female,30-34,4892,4794,5207
Butte County,Female,35-39,5701,5594,5511
Butte County,Female,40-44,5794,6039,6022
Butte County,Female,45-49,4915,4887,5031
Butte County,Female,50-54,5588,5466,5279
Butte County,Female,55-59,6036,5805,5646
Butte County,Female,60-64,7319,7355,6968
Butte County,Female,65-69,6214,6061,6440
Butte County,Female,70-74,5698,5853,5876
Butte County,Female,75-79,4379,4598,4695
Butte County,Female,80-84,2637,2747,2930
Butte County,Female,85-89,1414,1526,1610
Butte County,Female,90-94,828,745,721
Butte County,Female,95-99,596,588,556
Butte County,Female,100+,84,115,121
Butte County,Male,0,1053,1029,977
Butte County,Male,1-4,4207,4142,4097
Butte County,Male,5-9,5267,5232,5274
Butte County,Male,10-14,6060,6107,5931
Butte County,Male,15-19,8019,8012,8040
Butte County,Male,20-24,13078,13128,12903
Butte County,Male,25-29,6753,6700,6760
Butte County,Male,30-34,5063,5070,5700
Butte County,Male,35-39,7038,6849,6448
Butte County,Male,40-44,6178,6625,6831
Butte County,Male,45-49,5026,5093,5343
Butte County,Male,50-54,5565,5402,5176
Butte County,Male,55-59,5894,5683,5553
Butte County,Male,60-64,6180,6215,6079
Butte County,Male,65-69,5253,5322,5482
Butte County,Male,70-74,5024,4981,4900
Butte County,Male,75-79,3746,3972,4181
Butte County,Male,80-84,2171,2280,2394
Butte County,Male,85-89,836,991,1127
Butte County,Male,90-94,493,374,343
Butte County,Male,95-99,273,252,216
Butte County,Male,100+,10,28,38
Calaveras County,Female,0,198,218,209
Calaveras County,Female,1-4,741,758,784
Calaveras County,Female,5-9,923,912,936
Calaveras County,Female,10-14,880,886,861
Calaveras County,Female,15-19,1097,1069,1048
Calaveras County,Female,20-24,1188,1156,1097
Calaveras County,Female,25-29,1444,1398,1330
Calaveras County,Female,30-34,1113,1210,1350
Calaveras County,Female,35-39,870,877,892
Calaveras County,Female,40-44,879,888,870
Calaveras County,Female,45-49,907,900,913
Calaveras County,Female,50-54,1162,1076,995
Calaveras County,Female,55-59,1374,1310,1303
Calaveras County,Female,60-64,1756,1720,1585
Calaveras County,Female,65-69,2046,1991,1962
Calaveras County,Female,70-74,1911,1927,1966
Calaveras County,Female,75-79,1678,1754,1814
Calaveras County,Female,80-84,1138,1198,1242
Calaveras County,Female,85-89,765,769,807
Calaveras County,Female,90-94,341,359,370
Calaveras County,Female,95-99,122,132,140
Calaveras County,Female,100+,25,25,31
Calaveras County,Male,0,213,227,245
Calaveras County,Male,1-4,798,804,827
Calaveras County,Male,5-9,978,1004,1027
Calaveras County,Male,10-14,927,897,888
Calaveras County,Male,15-19,1080,1054,1042
Calaveras County,Male,20-24,1278,1222,1160
Calaveras County,Male,25-29,1573,1537,1439
Calaveras County,Male,30-34,1327,1431,1565
Calaveras County,Male,35-39,992,1000,1002
Calaveras County,Male,40-44,936,946,996
Calaveras County,Male,45-49,927,947,913
Calaveras County,Male,50-54,1036,1021,988
Calaveras County,Male,55-59,1335,1208,1154
Calaveras County,Male,60-64,1687,1631,1561
Calaveras County,Male,65-69,1812,1833,1797
Calaveras County,Male,70-74,1670,1660,1613
Calaveras County,Male,75-79,1505,1528,1535
Calaveras County,Male,80-84,1032,1067,1139
Calaveras County,Male,85-89,659,654,667
Calaveras County,Male,90-94,275,303,338
Calaveras County,Male,95-99,135,109,94
Calaveras County,Male,100+,11,28,24
Colusa County,Female,0,150,137,156
Colusa County,Female,1-4,539,555,557
Colusa County,Female,5-9,680,661,673
Colusa County,Female,10-14,763,752,733
Colusa County,Female,15-19,869,875,844
Colusa County,Female,20-24,802,786,770
Colusa County,Female,25-29,954,852,802
Colusa County,Female,30-34,686,821,930
Colusa County,Female,35-39,592,568,523
Colusa County,Female,40-44,516,534,560
Colusa County,Female,45-49,515,529,522
Colusa County,Female,50-54,499,485,493
Colusa County,Female,55-59,489,492,484
Colusa County,Female,60-64,530,502,491
Colusa County,Female,65-69,603,594,580
Colusa County,Female,70-74,528,541,558
Colusa County,Female,75-79,378,402,427
Colusa County,Female,80-84,265,288,286
Colusa County,Female,85-89,134,122,145
Colusa County,Female,90-94,90,95,81
Colusa County,Female,95-99,66,64,57
Colusa County,Female,100+,22,14,15
Colusa County,Male,0,136,146,159
Colusa County,Male,1-4,543,551,564
Colusa County,Male,5-9,774,747,727
Colusa County,Male,10-14,847,802,750
Colusa County,Male,15-19,982,990,990
Colusa County,Male,20-24,856,870,884
Colusa County,Male,25-29,1034,1017,965
Colusa County,Male,30-34,860,921,1021
Colusa County,Male,35-39,616,590,595
Colusa County,Male,40-44,582,613,627
Colusa County,Male,45-49,511,513,512
Colusa County,Male,50-54,537,537,497
Colusa County,Male,55-59,505,500,532
Colusa County,Male,60-64,555,539,510
Colusa County,Male,65-69,614,607,562
Colusa County,Male,70-74,507,509,548
Colusa County,Male,75-79,359,385,432
Colusa County,Male,80-84,256,258,260
Colusa County,Male,85-89,108,136,138
Colusa County,Male,90-94,87,66,53
Colusa County,Male,95-99,26,19,28
Colusa County,Male,100+,5,9,9
Contra Costa County,Female,0,5587,5614,5662
Contra Costa County,Female,1-4,23581,23288,22731
Contra Costa County,Female,5-9,31277,31191,31162
Contra Costa County,Female,10-14,31771,31573,31534
Contra Costa County,Female,15-19,33900,33207,32854
Contra Costa County,Female,20-24,33152,31543,29935
Contra Costa County,Female,25-29,38228,37386,36931
Contra Costa County,Female,30-34,35585,37444,38602
Contra Costa County,Female,35-39,34758,33990,32879
Contra Costa County,Female,40-44,37082,36992,37058
Contra Costa County,Female,45-49,35638,35656,35710
Contra Costa County,Female,50-54,38765,37429,36581
Contra Costa County,Female,55-59,39886,39182,38733
Contra Costa County,Female,60-64,40838,40880,40503
Contra Costa County,Female,65-69,36577,36763,37354
Contra Costa County,Female,70-74,30756,31520,32270
Contra Costa County,Female,75-79,23930,25131,26484
Contra Costa County,Female,80-84,15320,16173,17016
Contra Costa County,Female,85-89,8992,9338,9867
Contra Costa County,Female,90-94,5473,5494,5431
Contra Costa County,Female,95-99,2464,2447,2507
Contra Costa County,Female,100+,269,378,443
Contra Costa County,Male,0,5901,5945,6003
Contra Costa County,Male,1-4,24075,23896,23810
Contra Costa County,Male,5-9,32275,32089,31793
Contra Costa County,Male,10-14,32928,32321,32305
Contra Costa County,Male,15-19,35453,34752,33960
Contra Costa County,Male,20-24,33979,32388,31553
Contra Costa County,Male,25-29,38955,37687,36302
Contra Costa County,Male,30-34,38303,39709,41165
Contra Costa County,Male,35-39,35184,34390,33950
Contra Costa County,Male,40-44,35669,36276,36361
Contra Costa County,Male,45-49,33897,33727,33864
Contra Costa County,Male,50-54,36361,35282,34121
Contra Costa County,Male,55-59,37708,37210,37021
Contra Costa County,Male,60-64,37691,37720,37193
Contra Costa County,Male,65-69,33233,33702,34242
Contra Costa County,Male,70-74,26613,27031,27885
Contra Costa County,Male,75-79,19823,20900,22089
Contra Costa County,Male,80-84,11821,12593,13462
Contra Costa County,Male,85-89,6438,6803,7155
Contra Costa County,Male,90-94,3049,2979,2989
Contra Costa County,Male,95-99,823,845,900
Contra Costa County,Male,100+,32,68,107
Del Norte County,Female,0,116,109,131
Del Norte County,Female,1-4,416,426,406
Del Norte County,Female,5-9,725,664,653
Del Norte County,Female,10-14,788,792,762
Del Norte County,Female,15-19,840,839,854
Del Norte County,Female,20-24,770,744,717
Del Norte County,Female,25-29,857,801,771
Del Norte County,Female,30-34,694,715,754
Del Norte County,Female,35-39,598,592,555
Del Norte County,Female,40-44,602,616,624
Del Norte County,Female,45-49,537,500,518
Del Norte County,Female,50-54,525,534,522
Del Norte County,Female,55-59,626,571,501
Del Norte County,Female,60-64,780,782,768
Del Norte County,Female,65-69,923,862,820
Del Norte County,Female,70-74,760,776,781
Del Norte County,Female,75-79,579,581,628
Del Norte County,Female,80-84,381,396,386
Del Norte County,Female,85-89,224,244,268
Del Norte County,Female,90-94,167,140,129
Del Norte County,Female,95-99,57,70,67
Del Norte County,Female,100+,11,8,13
Del Norte County,Male,0,128,115,132
Del Norte County,Male,1-4,458,469,466
Del Norte County,Male,5-9,722,685,645
Del Norte County,Male,10-14,827,804,781
Del Norte County,Male,15-19,806,786,815
Del Norte County,Male,20-24,817,820,782
Del Norte County,Male,25-29,843,835,806
Del Norte County,Male,30-34,932,935,959
Del Norte County,Male,35-39,945,942,931
Del Norte County,Male,40-44,1158,1173,1171
Del Norte County,Male,45-49,1059,1016,1052
Del Norte County,Male,50-54,921,926,888
Del Norte County,Male,55-59,963,909,875
Del Norte County,Male,60-64,892,870,846
Del Norte County,Male,65-69,848,841,819
Del Norte County,Male,70-74,704,713,717
Del Norte County,Male,75-79,544,545,572
Del Norte County,Male,80-84,323,348,308
Del Norte County,Male,85-89,145,123,153
Del Norte County,Male,90-94,100,102,101
Del Norte County,Male,95-99,18,17,18
Del Norte County,Male,100+,7,5,3
El Dorado County,Female,0,789,821,805
El Dorado County,Female,1-4,2949,2983,3114
El Dorado County,Female,5-9,4244,4184,3996
El Dorado County,Female,10-14,4518,4317,4218
El Dorado County,Female,15-19,5203,5043,4935
El Dorado County,Female,20-24,5563,5257,4978
El Dorado County,Female,25-29,6251,6190,6074
El Dorado County,Female,30-34,5095,5360,5763
El Dorado County,Female,35-39,4348,4345,4168
El Dorado County,Female,40-44,4730,4554,4587
El Dorado County,Female,45-49,4448,4481,4430
El Dorado County,Female,50-54,5630,5293,4967
El Dorado County,Female,55-59,6264,5954,5880
El Dorado County,Female,60-64,8182,7988,7563
El Dorado County,Female,65-69,7909,7926,8041
El Dorado County,Female,70-74,6602,6698,6887
El Dorado County,Female,75-79,4997,5284,5543
El Dorado County,Female,80-84,3305,3478,3701
El Dorado County,Female,85-89,1778,1912,1977
El Dorado County,Female,90-94,894,927,943
El Dorado County,Female,95-99,283,324,377
El Dorado County,Female,100+,3,3,10
El Dorado County,Male,0,853,818,862
El Dorado County,Male,1-4,3261,3291,3256
El Dorado County,Male,5-9,4406,4301,4298
El Dorado County,Male,10-14,4770,4761,4795
El Dorado County,Male,15-19,5960,5821,5517
El Dorado County,Male,20-24,5506,5353,5191
El Dorado County,Male,25-29,6708,6408,6085
El Dorado County,Male,30-34,6053,6338,6664
El Dorado County,Male,35-39,5118,5126,5189
El Dorado County,Male,40-44,4571,4716,4793
El Dorado County,Male,45-49,4404,4344,4303
El Dorado County,Male,50-54,5240,4991,4701
El Dorado County,Male,55-59,5983,5759,5619
El Dorado County,Male,60-64,7591,7286,6911
El Dorado County,Male,65-69,7696,7644,7686
El Dorado County,Male,70-74,6259,6532,6534
El Dorado County,Male,75-79,4555,4789,5096
El Dorado County,Male,80-84,2901,3019,3141
El Dorado County,Male,85-89,1473,1595,1660
El Dorado County,Male,90-94,679,642,752
El Dorado County,Male,95-99,159,186,170
El Dorado County,Male,100+, -   , -   ,6
Fresno County,Female,0,6795,6830,6848
Fresno County,Female,1-4,27604,27478,27212
Fresno County,Female,5-9,37292,36409,35556
Fresno County,Female,10-14,39224,39283,39312
Fresno County,Female,15-19,41194,40806,40607
Fresno County,Female,20-24,42476,42958,43077
Fresno County,Female,25-29,38254,37997,37962
Fresno County,Female,30-34,34595,35520,36644
Fresno County,Female,35-39,30322,30581,31035
Fresno County,Female,40-44,30395,30776,30481
Fresno County,Female,45-49,26498,27004,27683
Fresno County,Female,50-54,25924,25856,25733
Fresno County,Female,55-59,24855,24587,24397
Fresno County,Female,60-64,25582,25428,25323
Fresno County,Female,65-69,23969,24150,24143
Fresno County,Female,70-74,19951,20418,21076
Fresno County,Female,75-79,14466,15230,16002
Fresno County,Female,80-84,9285,9731,10134
Fresno County,Female,85-89,5629,5742,5945
Fresno County,Female,90-94,3340,3223,3134
Fresno County,Female,95-99,1356,1309,1242
Fresno County,Female,100+,85,129,204
Fresno County,Male,0,7120,7104,7193
Fresno County,Male,1-4,28248,27921,27913
Fresno County,Male,5-9,38566,37806,37068
Fresno County,Male,10-14,40210,40475,40416
Fresno County,Male,15-19,43248,42961,42389
Fresno County,Male,20-24,43957,43781,44215
Fresno County,Male,25-29,39451,39111,39123
Fresno County,Male,30-34,36934,38533,39173
Fresno County,Male,35-39,31840,31758,32237
Fresno County,Male,40-44,31375,31471,31228
Fresno County,Male,45-49,27183,27794,28356
Fresno County,Male,50-54,25566,25564,25544
Fresno County,Male,55-59,24400,24004,24197
Fresno County,Male,60-64,24473,24231,23624
Fresno County,Male,65-69,21567,21816,21967
Fresno County,Male,70-74,17246,17551,17896
Fresno County,Male,75-79,12167,12699,13404
Fresno County,Male,80-84,7042,7349,7597
Fresno County,Male,85-89,3783,3935,4041
Fresno County,Male,90-94,1764,1686,1674
